Global frequency set at 1000000000000 ticks per second
      0: system.cpu.[tid:0]: Setting integer register integer[2] (2) to 0x7ffffffffffffed0.
gem5 Simulator System.  https://www.gem5.org
gem5 is copyrighted software; use the --copyright option for details.

gem5 version 22.1.0.0
gem5 compiled Feb 22 2023 20:08:12
gem5 started Mar 15 2023 10:59:34
gem5 executing on rp09, pid 843937
command line: build/RISCV/gem5.opt --debug-flags=Registers configs/tutorial/two_level.py

64
Beginning simulation!
2082000: system.cpu.[tid:0]: Reading integer reg integer[15] (15) as 0xc.
2082000: system.cpu.[tid:0]: Reading integer reg integer[14] (14) as 0x5c390.
2082000: system.cpu.[tid:0]: Setting integer register integer[15] (15) to 0x5c39c.
2084000: system.cpu.[tid:0]: Reading integer reg integer[15] (15) as 0x5c39c.
2086000: system.cpu.[tid:0]: Setting integer register integer[15] (15) to 0x21dba.
2088000: system.cpu.[tid:0]: Reading integer reg integer[15] (15) as 0x21dba.
2090000: system.cpu.[tid:0]: Reading integer reg integer[10] (10) as 0x7fffffffffffff30.
2092000: system.cpu.[tid:0]: Setting integer register integer[15] (15) to 0x1000.
2094000: system.cpu.[tid:0]: Reading integer reg integer[15] (15) as 0x1000.
2096000: system.cpu.[tid:0]: Reading integer reg integer[2] (2) as 0x7ffffffffffffcb0.
2096000: system.cpu.[tid:0]: Reading integer reg integer[15] (15) as 0x1000.
2100000: system.cpu.[tid:0]: Setting integer register integer[29] (29) to 0x1.
2102000: system.cpu.[tid:0]: Reading integer reg integer[10] (10) as 0x7fffffffffffff30.
2102000: system.cpu.[tid:0]: Setting integer register integer[10] (10) to 0x7fffffffffffff40.
2104000: system.cpu.[tid:0]: Reading integer reg integer[10] (10) as 0x7fffffffffffff40.
2157000: system.cpu.[tid:0]: Setting integer register integer[15] (15) to 0x17.
2159000: system.cpu.[tid:0]: Reading integer reg integer[15] (15) as 0x17.
2161000: system.cpu.[tid:0]: Reading integer reg integer[15] (15) as 0x17.
2161000: system.cpu.[tid:0]: Setting integer register integer[15] (15) to 0x14.
2165000: system.cpu.[tid:0]: Reading integer reg integer[13] (13) as 0x1e.
2165000: system.cpu.[tid:0]: Reading integer reg integer[15] (15) as 0x14.
2167000: system.cpu.[tid:0]: Reading integer reg integer[15] (15) as 0x14.
2167000: system.cpu.[tid:0]: Setting integer register integer[15] (15) to 0x50.
2169000: system.cpu.[tid:0]: Reading integer reg integer[15] (15) as 0x50.
2169000: system.cpu.[tid:0]: Reading integer reg integer[14] (14) as 0x5c390.
2169000: system.cpu.[tid:0]: Setting integer register integer[15] (15) to 0x5c3e0.
2171000: system.cpu.[tid:0]: Reading integer reg integer[15] (15) as 0x5c3e0.
2224000: system.cpu.[tid:0]: Setting integer register integer[15] (15) to 0x21e84.
2226000: system.cpu.[tid:0]: Reading integer reg integer[15] (15) as 0x21e84.
2279000: system.cpu.[tid:0]: Reading integer reg integer[10] (10) as 0x7fffffffffffff40.
2281000: system.cpu.[tid:0]: Setting integer register integer[15] (15) to 0.
2283000: system.cpu.[tid:0]: Reading integer reg integer[10] (10) as 0x7fffffffffffff40.
2283000: system.cpu.[tid:0]: Setting integer register integer[10] (10) to 0x7fffffffffffff50.
2285000: system.cpu.[tid:0]: Setting integer register integer[12] (12) to 0xffffffffffffffff.
2287000: system.cpu.[tid:0]: Reading integer reg integer[2] (2) as 0x7ffffffffffffcb0.
2287000: system.cpu.[tid:0]: Reading integer reg integer[15] (15) as 0.
2291000: system.cpu.[tid:0]: Setting integer register integer[15] (15) to 0x1.
2293000: system.cpu.[tid:0]: Reading integer reg integer[2] (2) as 0x7ffffffffffffcb0.
2293000: system.cpu.[tid:0]: Reading integer reg integer[15] (15) as 0x1.
2297000: system.cpu.[tid:0]: Reading integer reg integer[2] (2) as 0x7ffffffffffffcb0.
2297000: system.cpu.[tid:0]: Reading integer reg integer[15] (15) as 0x1.
2301000: system.cpu.[tid:0]: Reading integer reg integer[2] (2) as 0x7ffffffffffffcb0.
2301000: system.cpu.[tid:0]: Reading integer reg integer[15] (15) as 0x1.
2305000: system.cpu.[tid:0]: Reading integer reg integer[10] (10) as 0x7fffffffffffff50.
2307000: system.cpu.[tid:0]: Setting integer register integer[15] (15) to 0x19.
2309000: system.cpu.[tid:0]: Reading integer reg integer[15] (15) as 0x19.
2311000: system.cpu.[tid:0]: Reading integer reg integer[15] (15) as 0x19.
2311000: system.cpu.[tid:0]: Setting integer register integer[15] (15) to 0x16.
2315000: system.cpu.[tid:0]: Reading integer reg integer[13] (13) as 0x1e.
2315000: system.cpu.[tid:0]: Reading integer reg integer[15] (15) as 0x16.
